pair,matrix,ranks,cuda_median_solver_s,cuda_min_solver_s,cuda_max_solver_s,cuda_median_iteration_us,cuda_median_iterations,cuda_median_compute_s,cuda_n_trials,cuda_n_jobs,cuda_n_attempts,sycl_median_solver_s,sycl_min_solver_s,sycl_max_solver_s,sycl_median_iteration_us,sycl_median_iterations,sycl_median_compute_s,sycl_n_trials,sycl_n_jobs,sycl_n_attempts,time_ratio,iteration_ratio,compute_ratio
mpi,Queen_4147,32,84.756884,17.213376,180.282595,3200.7886706948643,26441.0,14.746091,9,3,9,14.904236000000001,14.859851,15.5647,573.5928263546798,25984.0,5.7452065,12,2,12,0.17584690819922075,0.1792035917916935,0.38960877835353114
nccl,Bump_2911,2,21.593226,21.068109,21.95163,850.3741084591784,25381.0,20.324368,9,3,9,28.829298,28.77326,28.879827,1141.7543762376238,25250.0,26.464789,9,1,9,1.3351084270594862,1.3426495055292866,1.3021211286865106
nccl,Bump_2911,4,12.304452,11.966338,12.561063,486.4104321561338,25288.0,10.864426,9,3,9,17.114507,17.102991,17.154038,684.772016164526,24993.0,13.777165,9,1,9,1.3909198881835616,1.4078070100781057,1.2680987472324816
nccl,Bump_2911,8,7.937874,7.825346,8.401343,309.55978282252033,25514.0,6.009967,9,3,9,13.57604,13.546359,13.649244,523.3429705871016,25941.0,8.379621,9,1,9,1.710286658619172,1.6906038821171723,1.3942873563199267
nccl,Bump_2911,16,6.287299,6.015579,6.421303,247.2660470977396,25415.0,3.7684819999999997,9,3,9,14.612434,14.48629,14.645295,567.605422622747,25744.0,5.373114,9,1,9,2.3241194668807705,2.2955251207553915,1.4258032810028018
nccl,Bump_2911,32,6.369126,6.001323,6.679698,247.59469755870006,25279.0,2.86062,9,3,9,19.779682,18.234771,20.819632,759.6467470619864,26038.0,3.861013,9,1,9,3.1055567121768357,3.068105878486709,1.349711950556173
nccl,Queen_4147,2,47.9372,47.526483,48.495479,1825.1444953260418,26275.0,46.614042000000005,9,3,9,63.398156,63.388787,63.409231,2391.0298321704695,26515.0,60.836113000000005,3,1,3,1.3225252204968168,1.3100496088356766,1.3051027199057315
nccl,Queen_4147,4,25.477765,25.048083,25.745484,969.3078101071976,26268.0,24.021338999999998,9,3,9,34.815374,34.771013,34.840647,1318.6143241298337,26403.0,31.085768,9,1,9,1.3665003190036487,1.3603669653543857,1.2940897258058763
nccl,Queen_4147,8,15.187863,15.008961,15.342628,575.881240147136,26397.0,13.2419,9,3,9,21.044535,21.017413,21.08612,800.7813926940639,26280.0,16.409578,9,1,9,1.3856152771459684,1.3905321737680958,1.2392162756099956
nccl,Queen_4147,16,9.743643,9.591972,9.833297,367.8351176115802,26478.0,7.060028,9,3,9,905.481746,901.672018,918.304314,34079.102220549496,26570.0,9.590478,3,2,3,92.93051336137829,92.64776686312949,1.358419258393876
nccl,Queen_4147,32,7.512502,7.24921,8.245621,284.5429134156503,26441.0,4.3106789999999995,9,3,9,16.668408999999997,16.468792,1179.184613,637.5371581564352,26145.0,5.838141500000001,10,2,10,2.2187560149734398,2.2405659325809437,1.3543438284316698
