topology,ranks,routing,hidden,backend,tokens_per_rank,useful_bytes,median_us,job_min_us,job_max_us,n_jobs,n_trials,stored_mean_us,useful_gbytes_per_s
2n4g,8,uniform,256,cuda_nccl,16384,33554432,1715.5066666666667,1712.44,1731.1833333333334,5,15,1718.9393333333333,19.559487964682933
2n4g,8,uniform,256,cuda_nvshmem,16384,33554432,2251.5633333333335,2183.3733333333334,2303.5466666666666,5,15,2246.674,14.902726253906543
2n4g,8,uniform,256,oshmpi,16384,33554432,5518.113333333334,5517.833333333333,5523.31,5,15,5519.879333333333,6.080779783428394
2n4g,8,uniform,256,sycl_mpi,16384,33554432,2910.0133333333333,2907.0733333333333,2919.186666666667,5,15,2911.866666666667,11.530679813609101
2n4g,8,uniform,256,sycl_oneccl,16384,33554432,1658.6399999999999,1658.2766666666666,1664.8333333333333,5,15,1659.9706666666668,20.230087300438914
4n4g,16,uniform,256,cuda_mpi,16384,33554432,4906.9766666666665,4858.776666666667,7288.166666666667,5,15,5452.289333333333,6.838107103287633
4n4g,16,uniform,256,cuda_nccl,16384,33554432,2490.0366666666664,2468.8433333333332,2508.233333333333,5,15,2486.8613333333333,13.475477067941437
4n4g,16,uniform,256,cuda_nvshmem,16384,33554432,4003.4633333333336,3994.4666666666667,4088.1366666666668,5,15,4020.784666666667,8.38135114679873
4n4g,16,uniform,256,oshmpi,16384,33554432,8515.296666666667,8507.423333333332,8608.61,5,15,8532.438,3.9404889005628694
4n4g,16,uniform,256,sycl_mpi,16384,33554432,4810.5633333333335,4772.306666666666,5298.45,5,15,4896.707333333334,6.975156478555179
4n4g,16,uniform,256,sycl_oneccl,16384,33554432,2572.963333333333,2567.9133333333334,2600.423333333333,5,15,2578.9139999999998,13.041162136006603
8n4g,32,uniform,256,cuda_mpi,16384,33554432,6070.643333333333,6051.25,6148.723333333333,5,15,6095.855333333334,5.527327197062585
8n4g,32,uniform,256,cuda_nccl,16384,33554432,3037.54,2979.786666666667,4587.766666666666,5,15,3337.7766666666666,11.046581114981201
8n4g,32,uniform,256,cuda_nvshmem,16384,33554432,5050.126666666667,4891.82,5249.75,5,15,5055.977333333333,6.6442753251073565
8n4g,32,uniform,256,oshmpi,16384,33554432,10350.1,10315.766666666666,10475.7,5,15,10374.28,3.2419427831615155
8n4g,32,uniform,256,sycl_mpi,16384,33554432,6013.39,5977.173333333333,6039.623333333333,5,15,6005.629333333333,5.579952738804567
8n4g,32,uniform,256,sycl_oneccl,16384,33554432,3063.1066666666666,3038.0466666666666,3085.4733333333334,5,15,3063.771333333333,10.954379214131189
1n1g,1,locality80,256,cuda_mpi,16384,33554432,65.44636666666666,65.3064,65.58253333333333,5,15,65.44721333333332,512.701219471822
1n1g,1,locality80,256,cuda_nccl,16384,33554432,82.38363333333334,81.67626666666666,82.89843333333333,5,15,82.39998,407.2948793631745
1n1g,1,locality80,256,cuda_nvshmem,16384,33554432,84.16466666666666,82.71906666666666,84.49993333333333,5,15,83.92081333333334,398.67599230080714
1n1g,1,locality80,256,oshmpi,16384,33554432,69.7188,69.6871,70.32176666666666,5,15,69.87531333333332,481.2824087620556
1n1g,1,locality80,256,sycl_mpi,16384,33554432,65.76076666666667,65.7459,66.46043333333333,5,15,66.00099333333334,510.2500122920302
1n1g,1,locality80,256,sycl_oneccl,16384,33554432,79.21823333333333,79.18853333333334,79.38943333333333,5,15,79.27924,423.5695570085507
1n2g,2,locality80,256,cuda_mpi,16384,33554432,156.37233333333333,155.87366666666668,156.41866666666667,5,15,156.1992,214.580362681378
1n2g,2,locality80,256,cuda_nccl,16384,33554432,258.26166666666666,257.19766666666663,259.9436666666667,5,15,258.2942,129.92416734965184
1n2g,2,locality80,256,cuda_nvshmem,16384,33554432,144.63566666666668,144.14000000000001,146.24233333333333,5,15,144.96833333333333,231.99279108195992
1n2g,2,locality80,256,oshmpi,16384,33554432,154.73066666666668,154.404,157.22333333333333,5,15,155.16066666666666,216.857024679443
1n2g,2,locality80,256,sycl_mpi,16384,33554432,156.72566666666665,156.26233333333334,158.35666666666665,5,15,156.91233333333332,214.09659766428388
1n2g,2,locality80,256,sycl_oneccl,16384,33554432,264.7343333333333,263.4286666666667,267.45933333333335,5,15,264.88893333333334,126.74756453954468
2n1g,2,locality80,256,cuda_mpi,16384,33554432,736.6796666666667,536.301,900.054,5,15,729.0928,45.54819892318642
2n1g,2,locality80,256,cuda_nccl,16384,33554432,735.6683333333333,731.2156666666666,740.843,5,15,736.5086666666666,45.610814656061045
2n1g,2,locality80,256,cuda_nvshmem,16384,33554432,889.7773333333333,883.2246666666666,893.187,5,15,889.1912,37.7110438117102
2n1g,2,locality80,256,oshmpi,16384,33554432,777.9946666666667,616.796,1039.6423333333332,5,15,768.4254666666667,43.12938563417744
2n1g,2,locality80,256,sycl_mpi,16384,33554432,797.7746666666667,753.0956666666667,844.6750000000001,5,15,791.2039333333335,42.06003700292981
2n1g,2,locality80,256,sycl_oneccl,16384,33554432,817.404,811.862,821.9566666666666,5,15,817.2452666666667,41.04999730855244
1n4g,4,locality80,256,cuda_mpi,16384,33554432,125.69133333333333,125.19033333333333,126.03766666666667,5,15,125.56453333333334,266.95899478616934
1n4g,4,locality80,256,cuda_nccl,16384,33554432,152.72766666666666,152.406,153.683,5,15,152.873,219.70107140596662
1n4g,4,locality80,256,cuda_nvshmem,16384,33554432,112.39433333333334,108.895,113.61,5,15,111.76333333333334,298.5420261401079
1n4g,4,locality80,256,oshmpi,16384,33554432,126.1,125.70133333333334,126.18566666666666,5,15,126.01693333333333,266.0938302934179
1n4g,4,locality80,256,sycl_mpi,16384,33554432,125.88666666666667,125.643,126.02433333333333,5,15,125.83326666666667,266.544765132659
1n4g,4,locality80,256,sycl_oneccl,16384,33554432,169.197,168.93633333333332,169.96066666666667,5,15,169.31473333333332,198.31576209980082
2n4g,8,locality80,256,cuda_mpi,16384,33554432,761.2896666666667,760.3353333333333,765.5363333333333,5,15,762.1722666666666,44.07577492404337
2n4g,8,locality80,256,cuda_nccl,16384,33554432,864.659,863.0043333333333,927.134,5,15,877.7688666666667,38.80654917140746
2n4g,8,locality80,256,cuda_nvshmem,16384,33554432,753.585,752.5956666666667,757.1303333333334,5,15,754.1282,44.526406443864985
2n4g,8,locality80,256,oshmpi,16384,33554432,1331.9233333333334,1331.04,1333.1166666666666,5,15,1331.9973333333332,25.192465031771096
2n4g,8,locality80,256,sycl_mpi,16384,33554432,763.3793333333333,758.0333333333333,764.0193333333333,5,15,761.8004,43.95512235507206
2n4g,8,locality80,256,sycl_oneccl,16384,33554432,666.5506666666666,664.0156666666667,667.343,5,15,665.9480666666666,50.340407230858176
4n4g,16,locality80,256,cuda_mpi,16384,33554432,1182.2633333333333,1175.1066666666666,1804.68,5,15,1328.1833333333334,28.381521319277432
4n4g,16,locality80,256,cuda_nccl,16384,33554432,865.4113333333333,844.2666666666667,893.7896666666667,5,15,862.8918,38.772813236403195
4n4g,16,locality80,256,cuda_nvshmem,16384,33554432,966.9393333333334,964.5413333333333,976.3473333333334,5,15,968.2242666666666,34.70169310863349
4n4g,16,locality80,256,oshmpi,16384,33554432,1994.6866666666667,1991.7866666666666,2004.0066666666667,5,15,1995.494,16.821906197464596
4n4g,16,locality80,256,sycl_mpi,16384,33554432,1181.9666666666667,1175.3166666666666,1569.2033333333334,5,15,1257.7133333333334,28.388644913844157
4n4g,16,locality80,256,sycl_oneccl,16384,33554432,745.2923333333333,743.4073333333333,774.7196666666667,5,15,751.5684,45.02183975236562
8n4g,32,locality80,256,cuda_mpi,16384,33554432,1512.9366666666667,1508.8266666666666,1518.1366666666668,5,15,1513.7160000000001,22.178345425342766
8n4g,32,locality80,256,cuda_nccl,16384,33554432,2352.3566666666666,2313.366666666667,2698.34,5,15,2416.1826666666666,14.264177059317818
8n4g,32,locality80,256,cuda_nvshmem,16384,33554432,1086.02,1078.68,1119.4533333333334,5,15,1091.9046666666666,30.89669803502698
8n4g,32,locality80,256,oshmpi,16384,33554432,2561.383333333333,2532.153333333333,2566.233333333333,5,15,2556.3333333333335,13.100121158488578
8n4g,32,locality80,256,sycl_mpi,16384,33554432,1526.5066666666667,1518.9566666666667,1535.0566666666666,5,15,1526.4826666666665,21.981189294947942
8n4g,32,locality80,256,sycl_oneccl,16384,33554432,1282.7833333333333,1280.7233333333334,1294.46,5,15,1285.2793333333332,26.15752101550015
1n1g,1,hotspot80,256,cuda_mpi,16384,33554432,65.50556666666667,65.46363333333333,65.77166666666666,5,15,65.5847,512.2378708781492
1n1g,1,hotspot80,256,cuda_nccl,16384,33554432,82.55986666666666,81.6454,82.8981,5,15,82.41437333333333,406.4254625734215
1n1g,1,hotspot80,256,cuda_nvshmem,16384,33554432,84.15546666666667,82.68443333333333,84.71993333333333,5,15,83.94969999999999,398.7195761495391
1n1g,1,hotspot80,256,oshmpi,16384,33554432,69.66373333333334,69.60146666666667,70.4298,5,15,69.86956,481.6628451341491
1n1g,1,hotspot80,256,sycl_mpi,16384,33554432,65.85896666666667,65.66343333333333,66.28496666666666,5,15,65.93007333333334,509.48919635848114
1n1g,1,hotspot80,256,sycl_oneccl,16384,33554432,79.16443333333333,79.05556666666666,86.69416666666666,5,15,80.64188666666668,423.8574140828394
1n2g,2,hotspot80,256,cuda_mpi,16384,33554432,371.247,370.947,371.539,5,15,371.25033333333334,90.3830387854986
