matrix,backend,ranks,best_solver_s,median_solver_s,max_solver_s,best_iterations,best_iteration_us,gflops_per_gpu,best_allreduce_us,n_trials,n_jobs,best_source
Bump_2911,acg-cg-mpi,2,21.619598,22.047493,22.434733,24920.0,867.5601123595505,164.01426760099795,26.980859516070787,9,3,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407822-1-stderr.txt
Bump_2911,acg-cg-mpi,4,12.261094,12.505354,12.614819,24998.0,490.48299863989115,145.05316235769828,27.685207408296332,9,3,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0004-procs-55407813-2-stderr.txt
Bump_2911,acg-cg-mpi,8,8.229548,13.542155,13.985969,24728.0,332.80281462309927,106.88932821553504,31.313013061587608,9,3,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-002-nodes-0008-procs-55407808-2-stderr.txt
Bump_2911,acg-cg-mpi,16,9.387947,20.506626,188.21972,25494.0,368.2414293559269,48.301232238981534,63.236320847224945,9,3,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-004-nodes-0016-procs-55407809-1-stderr.txt
Bump_2911,acg-cg-mpi,32,12.549331,86.604721,177.180182,25633.0,489.57714664690053,18.165177283753213,117.38546461730515,8,3,acg-results/acg-cg-mpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-008-nodes-0032-procs-55407827-3-stderr.txt
Bump_2911,acg-cg-nccl,2,21.068109,21.593226,21.95163,24777.0,850.3091173265528,167.3418099201974,12.941076761643393,9,3,acg-results/acg-cg-nccl/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407197-3-stderr.txt
Bump_2911,acg-cg-nccl,4,11.966338,12.304452,12.561063,24656.0,485.3316839714471,146.59283255169626,16.201200470454637,9,3,acg-results/acg-cg-nccl/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0004-procs-55407198-1-stderr.txt
Bump_2911,acg-cg-nccl,8,7.825346,7.937874,8.401343,25470.0,307.2377699254024,115.78339087172631,23.61744729299988,9,3,acg-results/acg-cg-nccl/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-002-nodes-0008-procs-55407137-1-stderr.txt
Bump_2911,acg-cg-nccl,16,6.015579,6.287299,6.421303,25102.0,239.64540674049877,74.22017823857854,31.843584432139586,9,3,acg-results/acg-cg-nccl/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-004-nodes-0016-procs-55407180-1-stderr.txt
Bump_2911,acg-cg-nccl,32,6.001323,6.369126,6.679698,25279.0,237.4034969737727,37.46052706465724,46.86455696202532,9,3,acg-results/acg-cg-nccl/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-008-nodes-0032-procs-55407181-3-stderr.txt
Bump_2911,acg-cg-nvshmem,2,22.085499,22.363051,22.490264,25388.0,869.9188199149204,163.5694464041768,18.255090787348852,9,3,acg-results/acg-cg-nvshmem/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-55407182-3-stderr.txt
Bump_2911,acg-cg-nvshmem,4,13.284798,13.502549,13.667997,25034.0,530.6702085164177,134.06840093142551,23.512941881366086,9,3,acg-results/acg-cg-nvshmem/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0004-procs-55407145-1-stderr.txt
Bump_2911,acg-cg-nvshmem,8,11.392699,11.589772,11.893063,25325.0,449.85978282329717,79.07583541810418,47.91155334438916,9,3,acg-results/acg-cg-nvshmem/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-002-nodes-0008-procs-55407146-2-stderr.txt
Bump_2911,acg-cg-nvshmem,16,11.747462,12.02698,12.281306,25151.0,467.0773329092283,38.08046822594531,69.72373966284987,7,3,acg-results/acg-cg-nvshmem/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-004-nodes-0016-procs-55407187-1-stderr.txt
Bump_2911,acg-cg-nvshmem,32,13.4768,13.728006,13.980903,24971.0,539.6980497376958,16.478221686954615,105.80341983020983,9,3,acg-results/acg-cg-nvshmem/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-008-nodes-0032-procs-55407207-1-stderr.txt
Bump_2911,acg-cg-oshmpi,2,22.176521,22.900127,26.034958,25264.0,877.79136320456,162.10248928287714,26.65996437759747,9,3,acg-results/acg-cg-oshmpi/suitesparse/Bump_2911/Bump_2911-rtol-1e-6-001-nodes-0002-procs-56216554-2-stderr.txt
