backend,topology,side,median_us,job_min_us,job_max_us,n_jobs,n_trials,stored_mean_us
cuda_mpi,2n1g,16384,1876.4433333333334,1876.4433333333334,1876.4433333333334,1,3,1876.4433333333334
cuda_mpi,2n4g,16384,551.4863333333334,551.4863333333334,551.4863333333334,1,3,551.4863333333334
cuda_mpi,4n4g,16384,339.338,339.338,339.338,1,3,339.338
cuda_mpi,8n4g,16384,240.94266666666667,240.94266666666667,240.94266666666667,1,3,240.94266666666667
cuda_nccl,1n1g,256,34.30843333333333,34.30843333333333,34.30843333333333,1,3,34.30843333333333
cuda_nccl,1n2g,256,56.83173333333333,56.83173333333333,56.83173333333333,1,3,56.83173333333334
cuda_nccl,1n4g,256,62.233333333333334,62.233333333333334,62.233333333333334,1,3,62.23333333333333
cuda_nccl,2n1g,256,79.27816666666666,79.27816666666666,79.27816666666666,1,3,79.27816666666666
cuda_nccl,2n4g,256,87.2364,87.2364,87.2364,1,3,87.2364
cuda_nccl,4n4g,256,109.75133333333333,109.75133333333333,109.75133333333333,1,3,109.75133333333333
cuda_nccl,8n4g,256,138.435,138.435,138.435,1,3,138.43499999999997
cuda_nccl,1n1g,512,39.54476666666667,39.54476666666667,39.54476666666667,1,3,39.54476666666667
cuda_nccl,1n2g,512,60.10783333333333,60.10783333333333,60.10783333333333,1,3,60.10783333333333
cuda_nccl,1n4g,512,64.1572,64.1572,64.1572,1,3,64.1572
cuda_nccl,2n1g,512,81.0251,81.0251,81.0251,1,3,81.0251
cuda_nccl,2n4g,512,87.29233333333333,87.29233333333333,87.29233333333333,1,3,87.29233333333333
cuda_nccl,4n4g,512,107.93599999999999,107.93599999999999,107.93599999999999,1,3,107.93599999999999
cuda_nccl,8n4g,512,127.71433333333333,127.71433333333333,127.71433333333333,1,3,127.71433333333334
cuda_nccl,1n1g,1024,55.986200000000004,55.986200000000004,55.986200000000004,1,3,55.9862
cuda_nccl,1n2g,1024,68.76886666666667,68.76886666666667,68.76886666666667,1,3,68.76886666666667
cuda_nccl,1n4g,1024,69.83633333333333,69.83633333333333,69.83633333333333,1,3,69.83633333333334
cuda_nccl,2n1g,1024,91.4964,91.4964,91.4964,1,3,91.4964
cuda_nccl,2n4g,1024,90.06886666666666,90.06886666666666,90.06886666666666,1,3,90.06886666666666
cuda_nccl,4n4g,1024,107.96433333333333,107.96433333333333,107.96433333333333,1,3,107.96433333333334
cuda_nccl,8n4g,1024,124.44500000000001,124.44500000000001,124.44500000000001,1,3,124.44500000000001
cuda_nccl,1n1g,2048,96.82676666666667,96.82676666666667,96.82676666666667,1,3,96.82676666666667
cuda_nccl,1n2g,2048,87.6599,87.6599,87.6599,1,3,87.6599
cuda_nccl,1n4g,2048,86.43996666666666,86.43996666666666,86.43996666666666,1,3,86.43996666666668
cuda_nccl,2n1g,2048,109.98533333333333,109.98533333333333,109.98533333333333,1,3,109.98533333333334
cuda_nccl,2n4g,2048,100.25066666666666,100.25066666666666,100.25066666666666,1,3,100.25066666666667
cuda_nccl,4n4g,2048,114.62866666666666,114.62866666666666,114.62866666666666,1,3,114.62866666666666
cuda_nccl,8n4g,2048,128.40366666666665,128.40366666666665,128.40366666666665,1,3,128.40366666666668
cuda_nccl,1n1g,4096,261.511,261.511,261.511,1,3,261.511
cuda_nccl,1n2g,4096,180.17833333333334,180.17833333333334,180.17833333333334,1,3,180.1783333333333
cuda_nccl,1n4g,4096,130.88833333333332,130.88833333333332,130.88833333333332,1,3,130.88833333333332
cuda_nccl,2n1g,4096,203.53333333333333,203.53333333333333,203.53333333333333,1,3,203.53333333333333
cuda_nccl,2n4g,4096,123.30866666666667,123.30866666666667,123.30866666666667,1,3,123.30866666666667
cuda_nccl,4n4g,4096,132.36833333333334,132.36833333333334,132.36833333333334,1,3,132.36833333333334
cuda_nccl,8n4g,4096,149.99266666666668,149.99266666666668,149.99266666666668,1,3,149.99266666666668
cuda_nccl,1n1g,8192,920.104,920.104,920.104,1,3,920.1039999999999
cuda_nccl,1n2g,8192,511.8763333333333,511.8763333333333,511.8763333333333,1,3,511.8763333333333
cuda_nccl,1n4g,8192,298.18233333333336,298.18233333333336,298.18233333333336,1,3,298.18233333333336
cuda_nccl,2n1g,8192,531.3956666666667,531.3956666666667,531.3956666666667,1,3,531.3956666666667
cuda_nccl,2n4g,8192,215.85433333333333,215.85433333333333,215.85433333333333,1,3,215.85433333333333
cuda_nccl,4n4g,8192,180.55366666666666,180.55366666666666,180.55366666666666,1,3,180.5536666666667
cuda_nccl,8n4g,8192,160.27266666666668,160.27266666666668,160.27266666666668,1,3,160.27266666666665
cuda_nccl,1n1g,16384,3538.1966666666667,3538.1966666666667,3538.1966666666667,1,3,3538.1966666666667
cuda_nccl,1n2g,16384,1846.8933333333332,1846.8933333333332,1846.8933333333332,1,3,1846.8933333333334
cuda_nccl,1n4g,16384,963.7823333333333,963.7823333333333,963.7823333333333,1,3,963.7823333333334
cuda_nccl,2n1g,16384,1866.6166666666666,1866.6166666666666,1866.6166666666666,1,3,1866.6166666666668
cuda_nccl,2n4g,16384,544.525,544.525,544.525,1,3,544.525
cuda_nccl,4n4g,16384,342.821,342.821,342.821,1,3,342.82099999999997
cuda_nccl,8n4g,16384,257.3756666666667,257.3756666666667,257.3756666666667,1,3,257.37566666666663
cuda_nvshmem,1n1g,256,38.612766666666666,38.612766666666666,38.612766666666666,1,3,38.612766666666666
cuda_nvshmem,1n2g,256,53.2703,53.2703,53.2703,1,3,53.2703
cuda_nvshmem,1n4g,256,61.69343333333333,61.69343333333333,61.69343333333333,1,3,61.69343333333333
cuda_nvshmem,2n1g,256,71.8433,71.8433,71.8433,1,3,71.8433
cuda_nvshmem,2n4g,256,85.8456,85.8456,85.8456,1,3,85.84559999999999
cuda_nvshmem,4n4g,256,141.19833333333332,141.19833333333332,141.19833333333332,1,3,141.19833333333335
cuda_nvshmem,8n4g,256,313.86766666666665,313.86766666666665,313.86766666666665,1,3,313.8676666666667
cuda_nvshmem,1n1g,512,44.67093333333333,44.67093333333333,44.67093333333333,1,3,44.67093333333333
cuda_nvshmem,1n2g,512,56.507866666666665,56.507866666666665,56.507866666666665,1,3,56.507866666666665
cuda_nvshmem,1n4g,512,75.7122,75.7122,75.7122,1,3,75.7122
cuda_nvshmem,2n1g,512,75.98906666666666,75.98906666666666,75.98906666666666,1,3,75.98906666666666
cuda_nvshmem,2n4g,512,86.37443333333333,86.37443333333333,86.37443333333333,1,3,86.37443333333333
cuda_nvshmem,4n4g,512,143.99433333333334,143.99433333333334,143.99433333333334,1,3,143.99433333333334
cuda_nvshmem,8n4g,512,219.93366666666665,219.93366666666665,219.93366666666665,1,3,219.93366666666665
cuda_nvshmem,1n1g,1024,63.631600000000006,63.631600000000006,63.631600000000006,1,3,63.6316
cuda_nvshmem,1n2g,1024,66.08330000000001,66.08330000000001,66.08330000000001,1,3,66.0833
cuda_nvshmem,1n4g,1024,74.80163333333333,74.80163333333333,74.80163333333333,1,3,74.80163333333333
cuda_nvshmem,2n1g,1024,84.94563333333333,84.94563333333333,84.94563333333333,1,3,84.94563333333333
