benchmark,topology,backend,bytes,on_us,off_us,off_over_on
allreduce,1n4g,sycl_mpi,32,16.7343,23.9642333,1.4320427684456474
allreduce,1n4g,sycl_mpi,64,17.1970333,23.8811333,1.3886775052066682
allreduce,1n4g,sycl_mpi,128,17.1116333,26.6861,1.5595296797296374
allreduce,1n4g,sycl_mpi,256,17.784,26.4039,1.484699730094467
allreduce,1n4g,sycl_mpi,512,21.6346,25.4932667,1.1783562765200188
allreduce,1n4g,sycl_mpi,1024,25.7224333,27.4983333,1.069040902129582
allreduce,1n4g,sycl_mpi,2048,25.6621667,28.8392,1.1238022236056944
allreduce,1n4g,sycl_mpi,4096,56.8846667,31.3706,0.5514772577545928
allreduce,1n4g,sycl_mpi,8192,57.0721333,37.8672,0.6634971887409717
allreduce,1n4g,sycl_mpi,16384,57.32,45.2757333,0.7898767149337055
allreduce,1n4g,sycl_mpi,32768,58.1655333,57.9635333,0.9965271529625948
allreduce,1n4g,sycl_mpi,65536,59.0452333,85.2856667,1.4444123925580288
allreduce,1n4g,sycl_mpi,131072,59.6958333,132.801333,2.2246332056813753
allreduce,1n4g,sycl_mpi,262144,63.0371,234.583,3.721348221920107
allreduce,1n4g,sycl_mpi,524288,68.1445,447.643,6.569026113626192
allreduce,1n4g,sycl_mpi,1048576,77.3189667,849.399,10.985648622228677
allreduce,1n4g,sycl_mpi,2097152,97.0971667,4137.71,42.614116772163236
allreduce,1n4g,sycl_mpi,4194304,135.813333,8554.36,62.98615762562871
allreduce,1n4g,sycl_mpi,8388608,210.386,17695.8333,84.1112683353455
allreduce,1n4g,sycl_mpi,16777216,361.487333,36914.3333,102.11791653568122
allreduce,2n1g,cuda_mpi,4,12.4891667,22.4709,1.7992313290205342
allreduce,2n1g,cuda_mpi,8,12.2919667,22.3803333,1.8207284355887492
allreduce,2n1g,cuda_mpi,16,12.2727333,22.5523667,1.8375993471641725
allreduce,2n1g,cuda_mpi,32,12.2860333,22.7277,1.8498810352402348
allreduce,2n1g,cuda_mpi,64,12.4631667,23.0282333,1.8477032245745377
allreduce,2n1g,cuda_mpi,128,12.3545,22.7693,1.8429964790157434
allreduce,2n1g,cuda_mpi,256,12.4393667,23.1214333,1.858730742297355
allreduce,2n1g,cuda_mpi,512,12.4357667,23.5171333,1.8910883315300535
allreduce,2n1g,cuda_mpi,1024,15.1771333,26.62,1.7539544177292032
allreduce,2n1g,cuda_mpi,2048,15.2531333,27.7292667,1.8179390525617447
allreduce,2n1g,cuda_mpi,4096,21.1264,34.2913333,1.6231508113071795
allreduce,2n1g,cuda_mpi,8192,22.0365,33.7604333,1.5320233839312052
allreduce,2n1g,cuda_mpi,16384,23.7064,44.9823,1.8974749434751799
allreduce,2n1g,cuda_mpi,32768,24.9606667,57.5924,2.3073261901293685
allreduce,2n1g,cuda_mpi,65536,26.6796667,81.9463,3.071488895324168
allreduce,2n1g,cuda_mpi,131072,35.2629333,120.252333,3.4101625062484517
allreduce,2n1g,cuda_mpi,262144,45.3913333,199.200333,4.388510284186784
allreduce,2n1g,cuda_mpi,524288,71.7489667,377.265,5.258124504809071
allreduce,2n1g,cuda_mpi,1048576,115.790333,706.912333,6.105106658601629
allreduce,2n1g,cuda_mpi,2097152,212.203333,3598.05667,16.955702905948232
allreduce,2n1g,cuda_mpi,4194304,408.571,7093.71667,17.362261810064833
allreduce,2n1g,cuda_mpi,8388608,800.654333,14261.0667,17.811764843093655
allreduce,2n1g,cuda_mpi,16777216,1653.86,29336.2,17.738018937515875
allreduce,2n1g,sycl_mpi,4,14.3523667,22.8165333,1.5897401297585296
allreduce,2n1g,sycl_mpi,8,16.4823,22.6294667,1.372955637259363
allreduce,2n1g,sycl_mpi,16,15.9522333,23.1835667,1.4533116626372309
allreduce,2n1g,sycl_mpi,32,13.3868667,23.3100667,1.7412638238939064
allreduce,2n1g,sycl_mpi,64,13.9461,23.2430667,1.6666355970486373
allreduce,2n1g,sycl_mpi,128,14.5971667,23.418,1.604283932716888
allreduce,2n1g,sycl_mpi,256,16.3279333,23.6475667,1.4482890311659955
allreduce,2n1g,sycl_mpi,512,15.4680667,24.0956,1.557764164541649
allreduce,2n1g,sycl_mpi,1024,17.1343667,27.2404,1.5898107281665683
allreduce,2n1g,sycl_mpi,2048,19.6057,28.4090333,1.4490190760850161
allreduce,2n1g,sycl_mpi,4096,21.0184333,34.7716333,1.65433992171053
allreduce,2n1g,sycl_mpi,8192,21.9897667,35.8131667,1.6286287703088727
allreduce,2n1g,sycl_mpi,16384,22.8874,48.4123667,2.1152409928607008
allreduce,2n1g,sycl_mpi,32768,24.7692667,58.4157333,2.3583957493582157
allreduce,2n1g,sycl_mpi,65536,26.4757667,83.7399,3.162888574630022
allreduce,2n1g,sycl_mpi,131072,31.1368667,129.993667,4.1749116329678735
